index,per_of_cn_semantics_0,seq_of_cn_semantics_0,per_of_cn_kwg_0,seq_of_cn_kwg_0,per_of_cn_sir_0,seq_of_cn_sir_0,per_of_en_semantics_0,seq_of_en_semantics_0,per_of_en_kwg_0,seq_of_en_kwg_0,per_of_en_sir_0,seq_of_en_sir_0,per_of_RecursivePara_semantics_0,seq_of_RecursivePara_semantics_0,per_of_RecursivePara_semantics_1,seq_of_RecursivePara_semantics_1,per_of_RecursivePara_semantics_2,seq_of_RecursivePara_semantics_2,per_of_RecursivePara_semantics_3,seq_of_RecursivePara_semantics_3,per_of_RecursivePara_semantics_4,seq_of_RecursivePara_semantics_4,per_of_RecursivePara_kwg_0,seq_of_RecursivePara_kwg_0,per_of_RecursivePara_kwg_1,seq_of_RecursivePara_kwg_1,per_of_RecursivePara_kwg_2,seq_of_RecursivePara_kwg_2,per_of_RecursivePara_kwg_3,seq_of_RecursivePara_kwg_3,per_of_RecursivePara_kwg_4,seq_of_RecursivePara_kwg_4,per_of_RecursivePara_SIR_0,seq_of_RecursivePara_SIR_0,per_of_RecursivePara_SIR_1,seq_of_RecursivePara_SIR_1,per_of_RecursivePara_SIR_2,seq_of_RecursivePara_SIR_2,per_of_RecursivePara_SIR_3,seq_of_RecursivePara_SIR_3,per_of_RecursivePara_SIR_4,seq_of_RecursivePara_SIR_4,per_of_PivotTranslation_semantics_0,seq_of_PivotTranslation_semantics_0,per_of_PivotTranslation_kwg_0,seq_of_PivotTranslation_kwg_0,per_of_PivotTranslation_sir_0,seq_of_PivotTranslation_sir_0,per_of_NormalTranslation_semantics_0,seq_of_NormalTranslation_semantics_0,per_of_NormalTranslation_kwg_0,seq_of_NormalTranslation_kwg_0,per_of_NormalTranslation_sir_0,seq_of_NormalTranslation_sir_0,per_of_inputs_cn_0,seq_of_inputs_cn_0,per_of_inputs_en_0,seq_of_inputs_en_0
23,15.758328437805176,509,15.758328437805176,516,15.758328437805176,383,20.863689422607425,191,14.430520057678224,358,14.430520057678224,67,7.6068115234375,66,11.176100730895996,55,17.68475341796875,77,14.498584747314451,119,15.203481674194336,96,30.965316772460938,190,21.11163330078125,279,32.6258544921875,190,24.381521224975582,241,30.521692276000977,222,46.84001541137695,59,36.33864974975586,47,13.456028938293455,62,39.53095245361328,49,51.98221969604492,53,11.816295623779297,242,11.816295623779297,250,11.816295623779297,195,13.612356185913086,200,11.816295623779297,353,11.816295623779297,73,15.758328437805176,516,14.430520057678224,196
24,13.896471977233888,535,13.896471977233888,541,13.896471977233888,400,93.6371612548828,257,35.65745162963867,347,35.65745162963867,163,67.97257995605469,143,54.8617057800293,142,67.38037872314453,149,53.17766571044922,244,77.97364807128906,172,93.5316162109375,245,46.53311538696289,284,102.80813598632812,249,100.79926300048828,264,119.79533386230467,249,70.2419662475586,155,83.43142700195312,140,48.09494400024414,171,72.4520263671875,143,77.99878692626953,148,21.05464172363281,223,21.05464172363281,245,21.05464172363281,173,21.05464172363281,240,21.05464172363281,328,21.05464172363281,166,13.896471977233888,541,35.65745162963867,264
25,24.13796615600586,558,24.13796615600586,542,24.13796615600586,537,136.1396942138672,204,76.23101043701172,370,76.23101043701172,234,379.36468505859375,82,137.84413146972656,83,95.99588775634766,85,101.84661865234376,129,106.19717407226562,93,53.56388473510742,144,132.63511657714844,288,110.3492202758789,112,56.34817886352539,213,66.09101867675781,180,49.64721298217773,153,54.194217681884766,149,342.32940673828125,213,46.48305892944336,154,125.45340728759766,179,70.90916442871094,258,71.85670471191406,337,71.85670471191406,338,71.85670471191406,186,71.85670471191406,359,71.85670471191406,242,24.13796615600586,542,76.23101043701172,211
26,10.6046781539917,646,10.6046781539917,602,10.6046781539917,550,47.82672882080078,359,16.868343353271484,365,34.02503204345703,137,60.13717269897461,220,49.65333557128906,213,48.95718383789063,234,33.58023834228516,280,26.95401382446289,266,18.67743682861328,207,29.51665496826172,300,17.752164840698242,201,25.630603790283203,247,22.64143180847168,214,74.767333984375,92,47.5470085144043,89,28.207937240600582,107,46.04994201660156,87,22.64143180847168,97,34.72657012939453,276,16.727407455444336,240,34.72657012939453,221,34.72657012939453,356,16.727407455444336,352,34.72657012939453,138,10.6046781539917,602,16.868343353271484,365
27,9.53868007659912,542,9.53868007659912,524,9.53868007659912,490,22.631690979003903,353,17.900737762451172,359,14.86134147644043,82,22.631690979003903,221,22.631690979003903,221,22.631690979003903,221,22.631690979003903,243,22.631690979003903,221,67.10773468017578,189,26.07854461669922,321,42.820343017578125,165,21.142990112304688,255,57.55906295776367,209,14.86134147644043,76,22.199377059936523,69,14.86134147644043,81,22.199377059936523,69,14.86134147644043,76,38.099830627441406,250,31.48094749450684,313,28.295995712280277,214,13.313994407653809,322,31.48094749450684,343,11.694214820861816,81,9.53868007659912,523,17.900737762451172,359
28,15.624021530151367,562,17.577770233154297,541,17.577770233154297,549,15.783758163452148,359,15.783758163452148,360,15.783758163452148,148,27.703649520874023,127,105.11626434326172,116,25.74972915649414,200,25.74972915649414,293,26.156442642211918,217,31.84845924377441,278,41.61195755004883,328,22.28378295898437,264,26.47503471374512,311,40.03671646118164,290,40.820091247558594,90,63.88118362426758,88,27.703649520874023,102,31.921316146850582,85,27.703649520874023,101,34.50552749633789,248,17.518707275390625,325,17.518707275390625,235,15.054142951965332,360,17.518707275390625,355,17.518707275390625,151,17.577770233154297,540,15.783758163452148,360
29,12.77553939819336,367,12.77553939819336,516,12.77553939819336,543,65.92338562011719,317,31.988000869750977,352,31.988000869750977,491,229.8468475341797,125,49.13996505737305,102,152.18209838867188,136,58.93125915527344,170,218.6982421875,147,75.03856658935547,171,53.659515380859375,243,68.16592407226562,142,92.6905746459961,239,71.4636459350586,219,39.20945358276367,264,66.83042907714844,247,40.08160400390625,284,25.64164161682129,251,29.40755271911621,290,27.45706367492676,168,24.73113441467285,295,24.73113441467285,239,19.203872680664062,308,24.73113441467285,340,24.73113441467285,470,12.77553939819336,357,31.988000869750977,319
30,9.756617546081545,620,9.756617546081545,605,9.756617546081545,550,47.9775276184082,392,19.496856689453125,309,19.496856689453125,422,16.92149543762207,44,21.3729248046875,44,8.108743667602539,46,47.9775276184082,293,47.9775276184082,141,52.39675521850586,142,78.35015869140625,251,21.52243423461914,140,42.64218521118164,220,14.86758041381836,150,18.501617431640625,241,25.169883728027344,217,44.64850997924805,342,23.62068748474121,198,19.901586532592773,262,23.85244369506836,258,15.926090240478516,305,15.926090240478516,272,16.74543571472168,371,15.926090240478516,300,15.926090240478516,431,9.756617546081545,604,19.496856689453125,394
31,105.5264663696289,497,63.151004791259766,486,63.151004791259766,548,109.63591766357422,331,40.22600936889648,342,40.22600936889648,137,499.91162109375,209,383.58056640625,197,394.9236755371094,240,102.84735870361328,292,211.13819885253903,250,76.60140228271484,234,147.7260284423828,307,211.5070953369141,211,82.22297668457031,265,98.04839324951172,258,193.36827087402344,114,194.7082977294922,106,106.33297729492188,122,189.50379943847656,100,234.1440277099609,112,31.64603042602539,337,40.80538940429688,248,40.80538940429688,262,31.64603042602539,314,40.80538940429688,327,40.80538940429688,131,63.151004791259766,486,40.22600936889648,342
32,30.47458267211914,536,30.47458267211914,533,30.47458267211914,550,47.923866271972656,362,47.923866271972656,374,47.923866271972656,49,55.60586166381836,142,58.06383514404297,143,99.810302734375,158,47.31352996826172,320,67.14691162109375,188,89.1332015991211,238,39.438358306884766,323,45.117584228515625,238,44.970550537109375,264,65.47705078125,261,38.52668762207031,46,40.95688247680664,45,51.555301666259766,44,43.30231857299805,46,40.95688247680664,44,20.11498069763184,275,20.11498069763184,272,20.11498069763184,291,21.71024703979492,378,20.11498069763184,361,20.11498069763184,49,30.47458267211914,533,47.923866271972656,374
